activity,description,start_date,start_time,end_date,end_time,duration
Study,null,2023-06-29,06:40:56,2023-06-29,07:26:16,00:45:20
Project,null,2023-06-29,13:12:29,2023-06-29,14:53:27,01:40:58
Project,null,2023-06-29,19:15:08,2023-06-29,20:45:31,01:30:23
Project,null,2023-06-30,08:25:22,2023-06-30,10:02:45,01:37:23
Project,null,2023-06-30,14:33:03,2023-06-30,15:02:36,00:29:33
Project,null,2023-07-02,20:16:04,2023-07-02,21:11:24,00:55:20
Project,null,2023-07-03,06:47:44,2023-07-03,07:33:26,00:45:42
Project,null,2023-07-05,19:22:47,2023-07-05,19:57:39,00:34:52
Project,null,2023-07-06,14:14:47,2023-07-06,14:31:15,00:16:28
Blogging,null,2023-07-07,13:13:12,2023-07-07,14:18:47,01:05:35
Project,null,2023-07-09,18:31:07,2023-07-09,20:50:30,02:19:23
Study,Arithmetic Logic Unit,2023-07-10,11:32:44,2023-07-10,11:59:09,00:26:25
Study,Programming Throwdown podcast: origins of the internet,2023-07-10,12:09:22,2023-07-10,12:34:23,00:25:01
Project,null,2023-07-10,18:49:14,2023-07-10,20:23:14,01:34:00
Study,revise notes on computer architecture,2023-07-11,06:57:24,2023-07-11,07:35:54,00:38:30
Study,further notes on ALU,2023-07-11,07:35:57,2023-07-11,08:00:00,00:24:03
Project,code metrics website integration,2023-07-11,14:23:56,2023-07-11,14:38:18,00:14:22
Project,pocket api lambda,2023-07-11,18:55:35,2023-07-11,19:37:36,00:42:01
Study,ALU,2023-07-12,06:51:09,2023-07-12,07:45:00,00:53:51
Project,pocket api lambda,2023-07-13,06:56:35,2023-07-13,08:00:00,01:03:25
Project,pocket api lambda,2023-07-13,13:55:22,2023-07-13,16:05:53,02:10:31
Project,pocket api lambda,2023-07-13,20:09:56,2023-07-13,20:45:56,00:36:00
Project,pocket api lambda,2023-07-14,14:07:58,2023-07-14,16:00:00,01:52:02
Project,pocket api lambda,2023-07-14,20:23:44,2023-07-14,21:15:31,00:51:47
Study,memory,2023-07-15,10:19:40,2023-07-15,11:44:35,01:24:55
Project,pocket api lambda,2023-07-15,11:44:39,2023-07-15,12:44:27,00:59:48
Project,code metrics website integration,2023-07-15,12:47:46,2023-07-15,13:45:00,00:57:14
Project,pocket api lambda,2023-07-15,17:51:09,2023-07-15,18:27:20,00:36:11
Project,meridian,2023-07-16,10:56:44,2023-07-16,12:52:31,01:55:47
Project,pocket api lambda,2023-07-16,20:26:03,2023-07-16,21:25:33,00:59:30
Project,pocket api lambda,2023-07-17,19:17:16,2023-07-17,19:55:42,00:38:26
Study,python exercises,2023-07-18,10:06:56,2023-07-18,10:22:58,00:16:02
Project,pocket api lambda,2023-07-18,11:24:17,2023-07-18,12:32:47,01:08:30
Project,pocket api lambda,2023-07-18,14:48:54,2023-07-18,17:10:27,02:21:33
Project,pocket api lambda,2023-07-19,11:56:19,2023-07-19,13:52:24,01:56:05
Project,pocket api lambda,2023-07-19,14:41:13,2023-07-19,15:40:36,00:59:23
Project,pocket api lambda,2023-07-19,19:20:19,2023-07-19,20:40:19,01:20:00
Study,memory,2023-07-20,08:41:25,2023-07-20,09:59:17,01:17:52
Study,memory,2023-07-20,10:36:27,2023-07-20,11:15:00,00:38:33
Project,pocket api lambda,2023-07-20,11:57:43,2023-07-20,14:56:41,02:58:58
Project,meridian,2023-07-22,12:16:14,2023-07-22,13:29:51,01:13:37
Project,meridian,2023-07-22,14:22:22,2023-07-22,15:12:23,00:50:01
Project,pocket api lambda,2023-07-22,15:45:43,2023-07-22,18:45:00,02:59:17
Project,meridian,2023-07-30,18:58:03,2023-07-30,20:06:46,01:08:43
Project,meridian,2023-07-31,06:50:05,2023-07-31,07:44:42,00:54:37
Project,meridian,2023-07-31,21:11:37,2023-07-31,22:00:36,00:48:59
Project,meridian,2023-08-01,13:43:28,2023-08-01,15:06:31,01:23:03
Project,meridian,2023-08-02,14:18:33,2023-08-02,15:34:54,01:16:21
Project,pocket api lambda,2023-08-02,19:15:39,2023-08-02,20:38:41,01:23:02
Project,alienblood vscode theme,2023-08-02,20:38:57,2023-08-02,21:27:34,00:48:37
Project,pocket api lambda,2023-08-03,21:23:13,2023-08-03,21:34:19,00:11:06
Project,pocket api lambda,2023-08-04,08:30:00,2023-08-04,09:45:00,01:15:00
Project,meridian,2023-08-04,13:35:39,2023-08-04,13:35:42,00:00:03
Project,pocket api lambda-,2023-08-04,13:35:44,2023-08-04,15:31:26,01:55:42
Project,get AWS secret lambda,2023-08-06,18:59:41,2023-08-06,19:58:24,00:58:43
Project,get AWS secret lambda,2023-08-07,06:27:25,2023-08-07,07:41:23,01:13:58
Blogging,recommended articles blog post,2023-08-07,19:13:38,2023-08-07,21:00:38,01:47:00
Blogging,recommended articles blog post,2023-08-08,07:01:13,2023-08-08,08:00:00,00:58:47
Project,code metrics lambda,2023-08-08,20:13:06,2023-08-08,21:31:51,01:18:45
Project,code metrics lambda,2023-08-09,06:55:44,2023-08-09,07:37:15,00:41:31
Project,code metrics lambda,2023-08-09,19:48:15,2023-08-09,21:17:43,01:29:28
Project,alienblood vscode theme,2023-08-14,06:45:00,2023-08-14,08:00:00,01:15:00
Project,meridian,2023-08-14,18:55:55,2023-08-14,20:00:55,01:05:00
Project,meridian,2023-08-15,06:30:55,2023-08-15,06:47:03,00:16:08
Project,google sheets lambda,2023-08-15,07:13:03,2023-08-15,07:37:22,00:24:19
Exercise,python exercises,2023-08-15,13:33:58,2023-08-15,14:30:00,00:56:02
Exercise,python exercises,2023-08-15,17:40:12,2023-08-15,17:53:10,00:12:58
Exercise,python exercises,2023-08-15,18:45:07,2023-08-15,19:56:48,01:11:41
Project,meridian,2023-08-15,19:58:27,2023-08-15,21:08:45,01:10:18
Project,meridian,2023-08-16,08:30:27,2023-08-16,09:45:00,01:14:33
Project,meridian,2023-08-16,20:20:45,2023-08-16,21:36:28,01:15:43
Project,meridian,2023-08-17,18:30:33,2023-08-17,21:16:35,02:46:02
Study,python imports,2023-08-18,10:39:44,2023-08-18,12:33:21,01:53:37
