activity_start_end,activity_type,start,end,duration,description
Chore_2024-03-27T10:44:28Z_2024-03-27T15:34:09Z,Chore,2024-03-27T10:44:28Z,2024-03-27T15:34:09Z,4.83,restore OS
Project_2024-03-28T10:00:00Z_2024-03-28T10:18:03Z,Project,2024-03-28T10:00:00Z,2024-03-28T10:18:03Z,0.3,linux ricing
Chore_2024-03-28T10:18:20Z_2024-03-28T10:32:20Z,Chore,2024-03-28T10:18:20Z,2024-03-28T10:32:20Z,0.23,fix rsnapshot
Project_2024-03-28T13:43:47Z_2024-03-28T16:29:03Z,Project,2024-03-28T13:43:47Z,2024-03-28T16:29:03Z,2.75,linux ricing
Project_2024-03-28T16:29:14Z_2024-03-28T18:22:23Z,Project,2024-03-28T16:29:14Z,2024-03-28T18:22:23Z,1.89,linux ricing
Project_2024-03-30T10:00:00Z_2024-03-30T16:14:43Z,Project,2024-03-30T10:00:00Z,2024-03-30T16:14:43Z,6.25,research docker for sys obs
"Project,_2024-03-30T16:15:12Z_2024-03-30T18:20:51Z","Project,",2024-03-30T16:15:12Z,2024-03-30T18:20:51Z,2.09,code metrics redux
"Chore,_2024-03-30T18:25:28Z_2024-03-30T18:42:10Z","Chore,",2024-03-30T18:25:28Z,2024-03-30T18:42:10Z,0.28,try fix daily backup
"Chore,_2024-03-30T18:42:37Z_2024-03-30T18:52:47Z","Chore,",2024-03-30T18:42:37Z,2024-03-30T18:52:47Z,0.17,try find old time entries
Project_2024-03-31T18:00:00Z_2024-03-31T19:02:47Z,Project,2024-03-31T18:00:00Z,2024-03-31T19:02:47Z,1.05,configure rofi
Project_2024-04-01T07:00:00Z_2024-04-01T08:37:52Z,Project,2024-04-01T07:00:00Z,2024-04-01T08:37:52Z,1.63,rofi styling
Project_2024-04-01T09:09:03Z_2024-04-01T09:29:15Z,Project,2024-04-01T09:09:03Z,2024-04-01T09:29:15Z,0.34,rofi styling
Project_2024-04-01T13:00:00Z_2024-04-01T16:20:18Z,Project,2024-04-01T13:00:00Z,2024-04-01T16:20:18Z,3.34,code metrics redux
Chore_2024-04-04T14:43:47Z_2024-04-04T14:57:47Z,Chore,2024-04-04T14:43:47Z,2024-04-04T14:57:47Z,0.23,waybar tweaks
Project_2024-04-04T14:59:53Z_2024-04-04T15:25:38Z,Project,2024-04-04T14:59:53Z,2024-04-04T15:25:38Z,0.43,add screenshot function
Project_2024-04-06T08:06:19Z_2024-04-06T17:43:31Z,Project,2024-04-06T08:06:19Z,2024-04-06T17:43:31Z,9.62,waybar redo
Project_2024-04-07T14:28:33Z_2024-04-07T14:33:56Z,Project,2024-04-07T14:28:33Z,2024-04-07T14:33:56Z,0.09,waybar redo
Project_2024-04-07T14:33:59Z_2024-04-07T16:27:36Z,Project,2024-04-07T14:33:59Z,2024-04-07T16:27:36Z,1.89,waybar redo
Project_2024-04-07T16:27:40Z_2024-04-07T16:28:37Z,Project,2024-04-07T16:27:40Z,2024-04-07T16:28:37Z,0.02,waybar redo
Project_2024-04-07T16:30:47Z_2024-04-07T17:46:01Z,Project,2024-04-07T16:30:47Z,2024-04-07T17:46:01Z,1.25,waybar redo
Project_2024-04-07T17:46:04Z_2024-04-07T18:18:05Z,Project,2024-04-07T17:46:04Z,2024-04-07T18:18:05Z,0.53,waybar redo
Project_2024-04-08T15:45:00Z_2024-04-08T18:07:10Z,Project,2024-04-08T15:45:00Z,2024-04-08T18:07:10Z,2.37,titlebars hypr
Study_2024-04-09T06:00:00Z_2024-04-09T06:18:57Z,Study,2024-04-09T06:00:00Z,2024-04-09T06:18:57Z,0.32,higher level language structure
Chore_2024-04-09T06:19:18Z_2024-04-09T08:58:43Z,Chore,2024-04-09T06:19:18Z,2024-04-09T08:58:43Z,2.66,tidy Eolas
Project_2024-04-09T15:25:29Z_2024-04-09T15:44:52Z,Project,2024-04-09T15:25:29Z,2024-04-09T15:44:52Z,0.32,ricing
Project_2024-04-09T16:01:40Z_2024-04-09T16:04:35Z,Project,2024-04-09T16:01:40Z,2024-04-09T16:04:35Z,0.05,ricing
Project_2024-04-09T16:21:50Z_2024-04-09T17:23:32Z,Project,2024-04-09T16:21:50Z,2024-04-09T17:23:32Z,1.03,improve waybar scripts
Project_2024-04-09T17:26:39Z_2024-04-09T17:31:24Z,Project,2024-04-09T17:26:39Z,2024-04-09T17:31:24Z,0.08,improve waybar scripts
Project_2024-04-12T07:04:17Z_2024-04-12T10:53:59Z,Project,2024-04-12T07:04:17Z,2024-04-12T10:53:59Z,3.83,code metrics redux
Project_2024-04-12T15:07:20Z_2024-04-12T16:04:50Z,Project,2024-04-12T15:07:20Z,2024-04-12T16:04:50Z,0.96,code metrics redux
Project_2024-04-13T11:17:45Z_2024-04-13T16:02:37Z,Project,2024-04-13T11:17:45Z,2024-04-13T16:02:37Z,4.75,slackbot notifier
Project_2024-04-13T16:23:23Z_2024-04-13T16:59:13Z,Project,2024-04-13T16:23:23Z,2024-04-13T16:59:13Z,0.6,code metrics redux
Project_2024-04-14T16:14:11Z_2024-04-14T16:19:38Z,Project,2024-04-14T16:14:11Z,2024-04-14T16:19:38Z,0.09,slackbot notifier
Project_2024-04-14T16:19:44Z_2024-04-14T16:19:57Z,Project,2024-04-14T16:19:44Z,2024-04-14T16:19:57Z,0.0,slackbot notifier
Project_2024-04-14T16:20:41Z_2024-04-14T16:22:28Z,Project,2024-04-14T16:20:41Z,2024-04-14T16:22:28Z,0.03,slackbot notifier
Project_2024-04-14T16:22:33Z_2024-04-14T16:24:37Z,Project,2024-04-14T16:22:33Z,2024-04-14T16:24:37Z,0.03,slackbot notifier
Project_2024-04-14T16:24:45Z_2024-04-14T16:40:24Z,Project,2024-04-14T16:24:45Z,2024-04-14T16:40:24Z,0.26,slackbot notifier
Project_2024-04-14T16:40:56Z_2024-04-14T16:41:05Z,Project,2024-04-14T16:40:56Z,2024-04-14T16:41:05Z,0.0,slackbot notifier
Project_2024-04-14T16:41:28Z_2024-04-14T16:47:03Z,Project,2024-04-14T16:41:28Z,2024-04-14T16:47:03Z,0.09,slackbot notifier
Project_2024-04-14T16:47:05Z_2024-04-14T16:47:08Z,Project,2024-04-14T16:47:05Z,2024-04-14T16:47:08Z,0.0,slackbot notifier
Project_2024-04-14T16:47:10Z_2024-04-14T17:05:53Z,Project,2024-04-14T16:47:10Z,2024-04-14T17:05:53Z,0.31,slackbot notifier
Project_2024-04-14T17:05:56Z_2024-04-14T17:06:10Z,Project,2024-04-14T17:05:56Z,2024-04-14T17:06:10Z,0.0,slackbot notifier
Project_2024-04-14T17:06:19Z_2024-04-14T17:07:55Z,Project,2024-04-14T17:06:19Z,2024-04-14T17:07:55Z,0.03,slackbot notifier
Project_2024-04-14T17:08:02Z_2024-04-14T17:08:09Z,Project,2024-04-14T17:08:02Z,2024-04-14T17:08:09Z,0.0,slackbot notifier
